index,Word,Occurrences,Word Count By Book,Book of Acquisition,WF,Lg10WF,Lg10WF (SUBTLEX),CD,Lg10CD,Burstingness,Lg10B
428,witch,"{1: [(4, 2), (5, 4), (7, 3), (8, 1), (12, 1), (16, 1)], 2: [(1, 1), (3, 1), (4, 4), (5, 2), (6, 3), (10, 1), (13, 3), (16, 1), (17, 1)], 3: [(1, 5), (3, 2), (4, 11), (5, 5), (10, 4), (12, 1), (14, 6), (16, 3), (17, 1), (22, 1)], 4: [(1, 1), (8, 1), (9, 4), (11, 1), (15, 1), (17, 5), (18, 2), (19, 1), (20, 1), (24, 1), (27, 5), (28, 4), (30, 7), (31, 1), (33, 2), (35, 1)], 5: [(2, 1), (3, 5), (7, 8), (8, 13), (9, 4), (10, 1), (11, 1), (16, 3), (17, 2), (22, 14), (23, 3), (25, 3), (26, 1), (28, 1), (31, 2), (34, 1), (35, 1), (36, 2), (38, 1)], 6: [(1, 1), (4, 2), (5, 1), (6, 1), (7, 1), (9, 1), (10, 1), (13, 3), (17, 4), (20, 1), (30, 1)], 7: [(3, 1), (7, 1), (8, 2), (11, 2), (12, 7), (13, 10), (15, 1), (17, 2), (20, 1), (23, 1), (26, 2), (28, 1), (29, 1), (30, 1), (31, 1), (33, 2)]}","{1: 12, 2: 17, 3: 39, 4: 38, 5: 67, 6: 17, 7: 36}",1,0.00020203121829294349,-3.6945815172622596,3.1495,0.4393939393939394,-0.3571459376429126,5318.596059113301,3.7257970074366247
429,wizard,"{1: [(4, 12), (5, 7), (6, 7), (7, 1), (8, 1), (10, 1), (12, 4), (13, 2), (16, 3), (17, 3)], 2: [(1, 6), (2, 4), (3, 5), (4, 6), (6, 2), (8, 1), (9, 1), (11, 4), (12, 3), (13, 11), (17, 2)], 3: [(1, 7), (2, 2), (3, 7), (4, 5), (5, 4), (7, 1), (10, 2), (11, 1), (12, 3), (16, 1), (17, 1), (19, 3), (21, 1), (22, 2)], 4: [(1, 6), (2, 7), (4, 1), (5, 4), (6, 1), (7, 10), (8, 2), (9, 6), (10, 2), (11, 2), (14, 2), (17, 3), (18, 1), (19, 5), (21, 3), (23, 1), (24, 3), (25, 2), (26, 2), (27, 2), (30, 2), (31, 2), (33, 6), (34, 1), (35, 1), (36, 1)], 5: [(1, 1), (2, 4), (3, 6), (5, 3), (6, 1), (7, 17), (8, 5), (9, 1), (10, 2), (12, 4), (14, 1), (18, 2), (20, 1), (21, 1), (22, 15), (23, 3), (24, 2), (25, 3), (27, 3), (29, 2), (31, 1), (32, 3), (33, 1), (34, 1), (35, 1), (36, 4), (37, 6), (38, 3)], 6: [(1, 6), (2, 4), (3, 1), (4, 5), (5, 1), (6, 4), (7, 2), (8, 1), (9, 1), (13, 7), (15, 2), (16, 1), (17, 5), (18, 3), (20, 4), (22, 2), (23, 9), (25, 2), (26, 3), (28, 2), (29, 1), (30, 2)], 7: [(2, 3), (3, 3), (7, 4), (8, 9), (10, 3), (11, 3), (12, 17), (13, 15), (15, 4), (16, 1), (17, 1), (18, 3), (20, 1), (21, 6), (22, 1), (23, 1), (24, 9), (25, 6), (26, 4), (27, 1), (28, 3), (31, 1), (32, 3), (33, 3), (36, 2)]}","{1: 41, 2: 45, 3: 40, 4: 78, 5: 97, 6: 68, 7: 107}",1,0.00042551707923646503,-3.3710830036891672,2.7348,0.6868686868686869,-0.16312628189131362,2595.2759433962265,3.414183541114352
430,poltergeist,"{1: [(7, 1), (8, 1)], 2: [(8, 2), (11, 1)], 3: [(7, 1), (8, 1), (9, 1), (10, 1)], 4: [(12, 1), (23, 1), (25, 3)], 5: [(12, 1), (29, 1), (30, 1), (32, 1)], 6: [(19, 1)]}","{1: 2, 2: 3, 3: 4, 4: 5, 5: 4, 6: 1}",1,1.6984925431707637e-05,-4.7699363554568315,1.5185,0.08080808080808081,-1.0925452076056064,54591.6,4.737125823028953
432,banshee,"{2: [(2, 1), (4, 1), (6, 1), (7, 1), (16, 1)], 3: [(7, 4)], 4: [(21, 1)], 7: [(6, 1)]}","{2: 5, 3: 4, 4: 1, 7: 1}",2,9.833377881514949e-06,-5.007297271251435,1.7634,0.04040404040404041,-1.3935752032695874,16822.285714285714,4.225885004878012
435,ogre,"{3: [(8, 1)]}",{3: 1},3,8.939434437740862e-07,-6.04868995640966,1.8573,0.005050505050505051,-2.296665190261531,,
447,Bane,"{1: [(15, 14), (16, 1)], 5: [(27, 2), (30, 5), (33, 5)], 7: [(36, 2)]}","{1: 15, 5: 12, 7: 2}",1,2.59243598694485e-05,-4.586291958510705,1.9777,0.030303030303030304,-1.5185139398778875,47629.045454545456,4.677871877795914
455,Fang,"{1: [(8, 6), (14, 1), (15, 9)], 2: [(7, 1), (14, 5), (15, 18), (17, 6)], 3: [(6, 2), (11, 3), (21, 2)], 4: [(2, 1), (5, 2), (13, 2), (19, 1), (24, 4), (28, 5), (37, 1)], 5: [(20, 10), (31, 2), (38, 1)], 6: [(11, 4), (22, 1), (28, 5)], 7: [(6, 2), (31, 7), (34, 1)]}","{1: 16, 2: 30, 3: 7, 4: 16, 5: 13, 6: 10, 7: 10}",1,9.118223126495679e-05,-4.040089784647743,1.9956,0.13131313131313133,-0.8816918422907131,11591.380434782608,4.064135159821121
458,Arnold,"{4: [(7, 1), (13, 2)], 6: [(7, 1), (11, 1), (14, 2)]}","{4: 3, 6: 4}",4,6.257604106418603e-06,-5.203591916395403,2.6355,0.025252525252525252,-1.5976951859255124,103975.8,5.016932270554152
460,Fluffy,"{1: [(11, 2), (13, 2), (14, 8), (15, 2), (16, 11), (17, 1)], 2: [(5, 1), (6, 2), (14, 1)], 3: [(4, 1), (13, 1), (19, 1), (22, 1)], 4: [(21, 1), (25, 2), (28, 1)], 5: [(7, 1), (11, 2), (12, 1), (24, 1)], 6: [(27, 1)], 7: [(6, 1), (12, 1), (13, 1), (16, 1), (25, 1)]}","{1: 26, 2: 4, 3: 4, 4: 4, 5: 5, 6: 1, 7: 5}",1,4.3803228744930225e-05,-4.3584938763811465,2.2695,0.13131313131313133,-0.8816918422907131,25697.05128205128,4.409883291214343
465,Harry,"{1: [(1, 19), (2, 73), (3, 64), (4, 45), (5, 132), (6, 106), (7, 55), (8, 43), (9, 67), (10, 75), (11, 63), (12, 89), (13, 58), (14, 42), (15, 84), (16, 112), (17, 86)], 2: [(1, 61), (2, 82), (3, 73), (4, 84), (5, 77), (6, 73), (7, 87), (8, 76), (9, 61), (10, 108), (11, 109), (12, 95), (13, 96), (14, 53), (15, 93), (16, 93), (17, 121), (18, 71)], 3: [(1, 72), (2, 78), (3, 99), (4, 95), (5, 128), (6, 91), (7, 36), (8, 90), (9, 77), (10, 102), (11, 88), (12, 106), (13, 81), (14, 116), (15, 94), (16, 68), (17, 74), (18, 18), (19, 55), (20, 43), (21, 153), (22, 104)], 4: [(1, 7), (2, 63), (3, 67), (4, 55), (5, 56), (6, 28), (7, 40), (8, 81), (9, 78), (10, 32), (11, 26), (12, 52), (13, 41), (14, 69), (15, 56), (16, 65), (17, 61), (18, 130), (19, 129), (20, 144), (21, 104), (22, 76), (23, 144), (24, 109), (25, 102), (26, 157), (27, 90), (28, 152), (29, 62), (30, 115), (31, 161), (32, 42), (33, 24), (34, 64), (35, 68), (36, 102), (37, 77)], 5: [(1, 90), (2, 96), (3, 85), (4, 101), (5, 71), (6, 77), (7, 84), (8, 41), (9, 130), (10, 104), (11, 71), (12, 121), (13, 122), (14, 114), (15, 75), (16, 96), (17, 103), (18, 121), (19, 88), (20, 38), (21, 107), (22, 95), (23, 95), (24, 145), (25, 112), (26, 132), (27, 100), (28, 103), (29, 117), (30, 118), (31, 96), (32, 95), (33, 54), (34, 87), (35, 149), (36, 65), (37, 116), (38, 117)], 6: [(1, 1), (2, 3), (3, 63), (4, 98), (5, 89), (6, 83), (7, 125), (8, 76), (9, 83), (10, 76), (11, 82), (12, 106), (13, 47), (14, 126), (15, 94), (16, 105), (17, 91), (18, 136), (19, 118), (20, 80), (21, 95), (22, 115), (23, 86), (24, 106), (25, 111), (26, 142), (27, 38), (28, 79), (29, 64), (30, 89)], 7: [(1, 5), (2, 26), (3, 83), (4, 100), (5, 113), (6, 98), (7, 105), (8, 87), (9, 74), (10, 102), (11, 86), (12, 84), (13, 92), (14, 72), (15, 110), (16, 76), (17, 94), (18, 23), (19, 102), (20, 70), (21, 60), (22, 79), (23, 123), (24, 125), (25, 69), (26, 100), (27, 18), (28, 49), (29, 70), (30, 62), (31, 130), (32, 74), (33, 65), (34, 49), (35, 79), (36, 143)]}","{1: 1213, 2: 1513, 3: 1868, 4: 2929, 5: 3731, 6: 2607, 7: 2897}",1,0.014980704230766136,-1.8244677703250116,3.6226,1.0,0.0,73.75520032104876,1.8677926469025907
475,Avis,"{4: [(18, 1)]}",{4: 1},4,8.939434437740862e-07,-6.04868995640966,1.2553,0.005050505050505051,-2.296665190261531,,
535,hexes,"{4: [(20, 1), (26, 1), (29, 3), (31, 4)], 5: [(6, 1), (22, 1), (23, 1), (28, 1), (38, 1)], 6: [(6, 1), (9, 1), (10, 1), (12, 1), (28, 1)]}","{4: 9, 5: 5, 6: 5}",4,1.6984925431707637e-05,-4.7699363554568315,0.7782,0.0707070707070707,-1.1505371545832932,29811.61111111111,4.474385447275773
536,jinxes,"{3: [(11, 1), (12, 1)], 4: [(37, 1)], 5: [(5, 1), (9, 1), (15, 3), (16, 1), (17, 1), (18, 2), (22, 2), (25, 1), (38, 1)], 6: [(5, 3), (6, 1), (8, 1), (9, 1), (12, 1), (15, 1), (16, 1), (28, 1), (29, 1)], 7: [(9, 2), (36, 1)]}","{3: 2, 4: 1, 5: 13, 6: 11, 7: 3}",3,2.6818303313222584e-05,-4.571568701689998,0.7782,0.11616161616161616,-0.9349373542439382,32860.11111111111,4.516669027597547
543,spider,"{1: [(2, 1)], 2: [(9, 1), (15, 9)], 3: [(1, 1), (7, 2), (8, 2)], 4: [(14, 18), (18, 1), (31, 10), (36, 1)], 5: [(6, 1), (28, 1)], 6: [(4, 2), (11, 2), (22, 5)], 7: [(4, 1), (20, 5), (28, 1), (32, 2)]}","{1: 1, 2: 10, 3: 5, 4: 30, 5: 2, 6: 9, 7: 9}",1,5.900026728908969e-05,-4.229146020867792,2.7126,0.09595959595959595,-1.017911589308702,18688.41379310345,4.27157244155345
