Category,Word,WF
Magical artifact--wandwood,yew,"defaultdict(<class 'list'>, {1: [(5, 2)], 4: [(32, 1), (33, 2)], 5: [(21, 1)], 7: [(1, 1), (24, 2), (32, 1)]})"
Magical creature--beast,bowtruckle,"defaultdict(<class 'list'>, {5: [(13, 11), (31, 1), (33, 1)], 6: [(22, 1), (28, 1)]})"
Magical creature--beast,chimaera,"defaultdict(<class 'list'>, {5: [(21, 1)], 7: [(31, 1)]})"
Magical creature--beast,demiguise,"defaultdict(<class 'list'>, {7: [(21, 1)]})"
Magical creature--beast,doxy,"defaultdict(<class 'list'>, {5: [(6, 6), (31, 1)], 6: [(11, 1)], 7: [(28, 1)]})"
Magical creature--beast,ghoul,"defaultdict(<class 'list'>, {2: [(3, 2), (4, 2), (12, 1)], 4: [(10, 1)], 5: [(6, 1)], 7: [(6, 4), (11, 1)]})"
Magical creature--beast,Graphorn,"defaultdict(<class 'list'>, {})"
Magical creature--beast,Griffin,"defaultdict(<class 'list'>, {1: [(10, 1)], 2: [(11, 1)], 5: [(17, 1), (22, 2), (27, 1)]})"
Magical creature--beast,Grindylow,"defaultdict(<class 'list'>, {3: [(8, 5), (16, 1), (22, 2)], 4: [(26, 3)], 7: [(5, 1)]})"
Magical creature--beast,Hinkypunk,"defaultdict(<class 'list'>, {3: [(10, 2), (16, 2)]})"
Magical creature--beast,Imp,"defaultdict(<class 'list'>, {})"
Magical creature--beast,Kneazle,"defaultdict(<class 'list'>, {5: [(20, 1)]})"
Magical creature--beast,leprechaun,"defaultdict(<class 'list'>, {4: [(9, 2), (12, 1), (28, 3), (37, 1)], 7: [(26, 1)]})"
Magical creature--beast,Mermaid,"defaultdict(<class 'list'>, {4: [(25, 3), (26, 2)]})"
Magical creature--beast,merpeople,"defaultdict(<class 'list'>, {4: [(25, 3), (26, 17), (27, 1)], 5: [(14, 2), (16, 1)], 6: [(30, 3)], 7: [(2, 1)]})"
Magical creature--beast,Moke,"defaultdict(<class 'list'>, {})"
Magical creature--beast,Niffler,"defaultdict(<class 'list'>, {4: [(28, 9)], 5: [(30, 2), (31, 1), (32, 1)]})"
Magical creature--beast,Occamy,"defaultdict(<class 'list'>, {})"
Magical creature--beast,Puffskein,"defaultdict(<class 'list'>, {})"
Magical creature--beast,Sphinx,"defaultdict(<class 'list'>, {4: [(31, 5)], 6: [(1, 2)]})"
Magical creature--beast--winged horse,Abraxan,"defaultdict(<class 'list'>, {5: [(20, 1)]})"
Magical creature--beast--winged horse,Aethonan,"defaultdict(<class 'list'>, {})"
Magical creature--beast--winged horse,Granian,"defaultdict(<class 'list'>, {})"
Magical creature--being,hag,"defaultdict(<class 'list'>, {1: [(5, 1)], 3: [(4, 1)], 4: [(12, 1), (16, 1)], 5: [(4, 1), (13, 1), (16, 1), (17, 1), (21, 2)], 6: [(21, 1)], 7: [(11, 1), (13, 1)]})"
Magical creature--being,Vampire,"defaultdict(<class 'list'>, {1: [(8, 1)], 2: [(10, 1)], 3: [(3, 1), (14, 3), (22, 1)], 4: [(9, 1)], 5: [(20, 1)], 6: [(15, 5)]})"
Magical creature--being,witch,"defaultdict(<class 'list'>, {1: [(4, 2), (5, 4), (7, 3), (8, 1), (12, 1), (16, 1)], 2: [(1, 1), (3, 1), (4, 4), (5, 2), (6, 3), (10, 1), (13, 3), (16, 1), (17, 1)], 3: [(1, 5), (3, 2), (4, 11), (5, 5), (10, 4), (12, 1), (14, 6), (16, 3), (17, 1), (22, 1)], 4: [(1, 1), (8, 1), (9, 4), (11, 1), (15, 1), (17, 5), (18, 2), (19, 1), (20, 1), (24, 1), (27, 5), (28, 4), (30, 7), (31, 1), (33, 2), (35, 1)], 5: [(2, 1), (3, 5), (7, 8), (8, 13), (9, 4), (10, 1), (11, 1), (16, 3), (17, 2), (22, 14), (23, 3), (25, 3), (26, 1), (28, 1), (31, 2), (34, 1), (35, 1), (36, 2), (38, 1)], 6: [(1, 1), (4, 2), (5, 1), (6, 1), (7, 1), (9, 1), (10, 1), (13, 3), (17, 4), (20, 1), (30, 1)], 7: [(3, 1), (7, 1), (8, 2), (11, 2), (12, 7), (13, 10), (15, 1), (17, 2), (20, 1), (23, 1), (26, 2), (28, 1), (29, 1), (30, 1), (31, 1), (33, 2)]})"
Magical creature--being,wizard,"defaultdict(<class 'list'>, {1: [(4, 12), (5, 7), (6, 7), (7, 1), (8, 1), (10, 1), (12, 4), (13, 2), (16, 3), (17, 3)], 2: [(1, 6), (2, 4), (3, 5), (4, 6), (6, 2), (8, 1), (9, 1), (11, 4), (12, 3), (13, 11), (17, 2)], 3: [(1, 7), (2, 2), (3, 7), (4, 5), (5, 4), (7, 1), (10, 2), (11, 1), (12, 3), (16, 1), (17, 1), (19, 3), (21, 1), (22, 2)], 4: [(1, 6), (2, 7), (4, 1), (5, 4), (6, 1), (7, 10), (8, 2), (9, 6), (10, 2), (11, 2), (14, 2), (17, 3), (18, 1), (19, 5), (21, 3), (23, 1), (24, 3), (25, 2), (26, 2), (27, 2), (30, 2), (31, 2), (33, 6), (34, 1), (35, 1), (36, 1)], 5: [(1, 1), (2, 4), (3, 6), (5, 3), (6, 1), (7, 17), (8, 5), (9, 1), (10, 2), (12, 4), (14, 1), (18, 2), (20, 1), (21, 1), (22, 15), (23, 3), (24, 2), (25, 3), (27, 3), (29, 2), (31, 1), (32, 3), (33, 1), (34, 1), (35, 1), (36, 4), (37, 6), (38, 3)], 6: [(1, 6), (2, 4), (3, 1), (4, 5), (5, 1), (6, 4), (7, 2), (8, 1), (9, 1), (13, 7), (15, 2), (16, 1), (17, 5), (18, 3), (20, 4), (22, 2), (23, 9), (25, 2), (26, 3), (28, 2), (29, 1), (30, 2)], 7: [(2, 3), (3, 3), (7, 4), (8, 9), (10, 3), (11, 3), (12, 17), (13, 15), (15, 4), (16, 1), (17, 1), (18, 3), (20, 1), (21, 6), (22, 1), (23, 1), (24, 9), (25, 6), (26, 4), (27, 1), (28, 3), (31, 1), (32, 3), (33, 3), (36, 2)]})"
Magical creature--spirit,poltergeist,"defaultdict(<class 'list'>, {1: [(7, 1), (8, 1)], 2: [(8, 2), (11, 1)], 3: [(7, 1), (8, 1), (9, 1), (10, 1)], 4: [(12, 1), (23, 1), (25, 3)], 5: [(12, 1), (29, 1), (30, 1), (32, 1)], 6: [(19, 1)]})"
Magical creature--uncategorized,Acromantula,"defaultdict(<class 'list'>, {6: [(22, 2)]})"
Magical creature--uncategorized,banshee,"defaultdict(<class 'list'>, {2: [(2, 1), (4, 1), (6, 1), (7, 1), (16, 1)], 3: [(7, 4)], 4: [(21, 1)], 7: [(6, 1)]})"
Magical creature--uncategorized,bicorn,"defaultdict(<class 'list'>, {2: [(10, 1), (11, 1)]})"
Magical creature--uncategorized,cockatrice,"defaultdict(<class 'list'>, {4: [(15, 1)]})"
