HP3Item,Supported,Supported WF,Related,Related WF,Unrelated,Unrelated WF,TypeOfSupported
45,Mudblood,"defaultdict(<class 'list'>, {2: [(7, 2), (12, 3), (17, 1)], 4: [(9, 2), (11, 1), (18, 1), (23, 1)], 5: [(6, 3), (28, 1)], 6: [(6, 1), (10, 1), (21, 1), (27, 2), (29, 1)], 7: [(1, 1), (10, 4), (12, 1), (23, 12), (24, 2), (31, 1), (33, 5), (36, 1)]})",squib,"defaultdict(<class 'list'>, {2: [(9, 5), (11, 1)], 5: [(2, 2), (8, 2), (28, 1)], 6: [(10, 1), (19, 1), (30, 1)], 7: [(8, 5), (11, 1), (18, 2)]})",godfather,"defaultdict(<class 'list'>, {3: [(10, 2), (20, 2), (22, 5)], 4: [(2, 2), (3, 2), (5, 1), (15, 1), (27, 2)], 5: [(1, 1), (4, 1), (5, 4), (14, 1), (21, 1), (22, 1), (24, 2), (37, 1), (38, 4)], 6: [(3, 1), (4, 1), (16, 1), (30, 1)], 7: [(2, 1), (3, 1), (25, 3)]})",HPWorldNoun
46,muggles,"defaultdict(<class 'list'>, {1: [(1, 6), (4, 1), (5, 4), (6, 3), (9, 2), (14, 2), (17, 1)], 2: [(1, 1), (2, 1), (3, 5), (4, 4), (5, 6), (7, 1), (11, 1), (12, 1), (14, 1), (17, 1)], 3: [(1, 6), (3, 6), (4, 2), (5, 1), (7, 1), (8, 1), (10, 4), (12, 2), (13, 1), (17, 1), (22, 1)], 4: [(1, 2), (2, 1), (3, 3), (4, 1), (5, 1), (6, 5), (7, 5), (8, 1), (9, 5), (26, 1), (27, 2), (28, 1), (30, 1), (33, 1), (35, 3), (36, 1)], 5: [(1, 1), (3, 2), (4, 2), (6, 1), (7, 2), (8, 4), (10, 2), (11, 1), (19, 1), (20, 2), (21, 1), (22, 4), (24, 1), (25, 1), (29, 1)], 6: [(1, 7), (5, 1), (6, 1), (10, 3), (13, 2), (16, 1), (17, 1)], 7: [(1, 2), (2, 1), (3, 1), (4, 1), (7, 1), (10, 2), (12, 2), (15, 2), (16, 2), (17, 3), (18, 5), (21, 2), (22, 3), (23, 1), (26, 1), (28, 1), (29, 1), (35, 2)]})",mudbloods,"defaultdict(<class 'list'>, {2: [(7, 2), (8, 1), (9, 1), (12, 3), (15, 1), (17, 2)], 4: [(33, 1), (37, 1)], 5: [(6, 2), (10, 1), (28, 1)], 6: [(19, 1)], 7: [(1, 1), (9, 1), (10, 1), (11, 1), (13, 4), (23, 1)]})",Astronomy,"defaultdict(<class 'list'>, {1: [(15, 3)], 2: [(11, 1)], 3: [(4, 1), (8, 1), (9, 1), (16, 2)], 4: [(12, 1)], 5: [(12, 1), (14, 1), (26, 2), (27, 1), (31, 6)], 6: [(5, 1), (23, 1), (27, 1), (28, 1), (29, 3)], 7: [(31, 1)]})",HPWorldNoun
47,nargles,"defaultdict(<class 'list'>, {5: [(21, 4)], 7: [(22, 1)]})",wrackspurts,"defaultdict(<class 'list'>, {7: [(22, 1)]})",Beans,"defaultdict(<class 'list'>, {1: [(6, 3), (12, 1), (17, 2)], 3: [(2, 1), (8, 3), (10, 1)], 4: [(8, 1), (23, 1), (24, 1), (29, 1), (37, 1)], 5: [(23, 1), (38, 1)], 7: [(8, 1), (21, 1)]})",HPWorldNoun
48,owl,"defaultdict(<class 'list'>, {1: [(1, 5), (4, 6), (5, 13), (6, 7), (9, 2), (10, 1), (12, 2), (13, 1), (14, 2), (16, 2), (17, 3)], 2: [(1, 3), (2, 3), (3, 3), (4, 2), (5, 2), (6, 1), (16, 1)], 3: [(1, 7), (3, 2), (4, 5), (5, 2), (14, 3), (15, 1), (22, 14)], 4: [(2, 2), (3, 9), (5, 2), (7, 1), (10, 3), (13, 2), (14, 1), (15, 3), (18, 7), (20, 1), (22, 1), (23, 2), (24, 2), (26, 5), (27, 1), (28, 7), (29, 10), (30, 1), (31, 2)], 5: [(1, 1), (2, 11), (3, 1), (4, 3), (6, 1), (7, 1), (8, 1), (9, 3), (10, 5), (12, 1), (14, 9), (15, 2), (17, 4), (18, 3), (21, 1), (23, 1), (25, 1), (26, 4), (27, 1), (28, 1), (31, 2)], 6: [(3, 5), (4, 1), (5, 2), (6, 2), (7, 2), (8, 1), (10, 1), (11, 3), (15, 1), (21, 1)], 7: [(2, 3), (3, 1), (4, 4), (5, 2), (18, 3), (19, 1), (20, 1), (21, 1), (25, 1), (33, 1), (36, 2)]})",toad,"defaultdict(<class 'list'>, {1: [(5, 2), (6, 8), (7, 2), (10, 1), (16, 2), (17, 1)], 2: [(13, 2), (16, 1)], 3: [(5, 1), (7, 4), (11, 1)], 4: [(14, 2), (20, 1)], 5: [(8, 1), (10, 3), (12, 1), (13, 1), (15, 1), (19, 1), (23, 1), (28, 1), (32, 1)], 6: [(7, 1)], 7: [(11, 1)]})",Charms,"defaultdict(<class 'list'>, {1: [(8, 1), (9, 2), (10, 1), (11, 1), (15, 1), (16, 1)], 2: [(3, 2), (7, 1), (8, 1), (9, 1), (11, 2), (13, 2), (16, 1)], 3: [(8, 1), (10, 1), (15, 8), (16, 3)], 4: [(1, 1), (7, 1), (8, 1), (11, 1), (12, 1), (15, 1), (18, 2), (19, 1), (20, 3), (24, 1), (26, 3), (27, 1), (29, 1)], 5: [(13, 4), (15, 2), (18, 2), (22, 2), (23, 1), (24, 1), (25, 1), (26, 1), (29, 2), (30, 2), (31, 8), (37, 1), (38, 1)], 6: [(3, 2), (5, 1), (6, 2), (9, 8), (11, 1), (12, 1), (15, 3), (17, 2), (24, 3), (28, 1)], 7: [(4, 1), (5, 2), (10, 1), (11, 1), (13, 2), (14, 2), (15, 1), (16, 1), (21, 1), (28, 2), (30, 1), (31, 1), (36, 2)]})",CommonNoun
49,Parselmouth,"defaultdict(<class 'list'>, {2: [(11, 3), (16, 1)], 4: [(31, 1), (36, 1)], 6: [(13, 1), (23, 1)]})",seer,"defaultdict(<class 'list'>, {3: [(16, 1)], 5: [(15, 1), (22, 1), (37, 1)], 6: [(25, 3)]})",Quirrell,"defaultdict(<class 'list'>, {1: [(5, 9), (7, 4), (8, 4), (9, 1), (10, 3), (11, 1), (12, 1), (13, 7), (14, 3), (15, 4), (17, 54)], 5: [(9, 1), (13, 2), (15, 2)], 6: [(2, 1), (4, 1), (8, 1)], 7: [(33, 1)]})",HPWorldNoun
50,Polyjuice,"defaultdict(<class 'list'>, {2: [(9, 2), (10, 2), (11, 2), (12, 6)], 4: [(25, 2), (27, 1), (35, 7)], 5: [(31, 1)], 6: [(3, 1), (9, 1), (21, 3), (24, 1)], 7: [(4, 1), (5, 1), (6, 1), (8, 1), (9, 1), (12, 4), (14, 1), (16, 2), (25, 1), (33, 1)]})",Veritaserum,"defaultdict(<class 'list'>, {4: [(27, 1), (35, 2), (36, 1)], 5: [(3, 1), (29, 1), (32, 2), (37, 1)], 6: [(9, 1), (17, 3), (21, 1)], 7: [(18, 1)]})",Firebolt,"defaultdict(<class 'list'>, {3: [(4, 8), (11, 12), (12, 18), (13, 25), (14, 2), (15, 12), (22, 1)], 4: [(5, 1), (8, 2), (9, 1), (10, 3), (20, 7), (21, 1), (26, 2)], 5: [(3, 2), (14, 1), (19, 2), (21, 2), (23, 1), (25, 1), (28, 1), (30, 1), (32, 2)], 6: [(19, 2)], 7: [(4, 3)]})",HPWorldNoun
51,revealer,"defaultdict(<class 'list'>, {2: [(13, 1)]})",Howler,"defaultdict(<class 'list'>, {2: [(6, 6)], 3: [(14, 3)], 4: [(10, 1)], 5: [(2, 2), (3, 2), (30, 1), (37, 2)]})",Firenze,"defaultdict(<class 'list'>, {1: [(15, 17), (16, 1)], 5: [(26, 1), (27, 27), (30, 9), (33, 1), (38, 2)], 6: [(9, 1), (15, 2), (20, 2), (30, 1)], 7: [(31, 1), (33, 1), (36, 1)]})",HPWorldNoun
52,seer,"defaultdict(<class 'list'>, {3: [(16, 1)], 5: [(15, 1), (22, 1), (37, 1)], 6: [(25, 3)]})",Legilimens,"defaultdict(<class 'list'>, {5: [(24, 3), (26, 2), (37, 1)], 6: [(2, 1)]})",motorcycle,"defaultdict(<class 'list'>, {1: [(1, 5), (2, 3)], 5: [(7, 1)], 7: [(4, 1), (10, 1)]})",HPWorldNoun
53,Skrewts,"defaultdict(<class 'list'>, {4: [(13, 5), (14, 1), (15, 4), (16, 3), (18, 5), (19, 1), (21, 12), (22, 2), (24, 3), (26, 2), (31, 4)], 5: [(13, 1), (21, 1), (31, 1)], 6: [(11, 1)]})",Flobberworms,"defaultdict(<class 'list'>, {3: [(6, 1), (8, 2), (11, 1), (16, 2)], 5: [(13, 1)], 6: [(11, 1)]})",Baron,"defaultdict(<class 'list'>, {1: [(7, 1), (10, 1), (16, 3)], 2: [(8, 1)], 4: [(12, 2), (21, 1)], 5: [(11, 1), (14, 1)], 6: [(23, 4)], 7: [(31, 4)]})",HPWorldNoun
54,Slytherin,"defaultdict(<class 'list'>, {1: [(5, 4), (6, 1), (7, 15), (8, 1), (9, 5), (11, 7), (13, 5), (14, 1), (15, 1), (17, 9)], 2: [(5, 4), (6, 1), (7, 10), (8, 3), (9, 20), (10, 8), (11, 7), (12, 12), (13, 2), (14, 4), (15, 1), (16, 4), (17, 8), (18, 5)], 3: [(5, 3), (6, 5), (7, 1), (9, 7), (11, 1), (12, 2), (13, 4), (14, 1), (15, 29)], 4: [(12, 6), (15, 2), (16, 5), (18, 3), (19, 2), (25, 1), (27, 1), (28, 1), (31, 2), (37, 2)], 5: [(10, 1), (11, 6), (13, 1), (14, 2), (17, 1), (18, 1), (19, 25), (21, 1), (22, 2), (24, 1), (25, 1), (27, 1), (28, 2), (30, 4), (32, 2), (38, 1)], 6: [(4, 1), (5, 1), (7, 3), (8, 2), (9, 2), (10, 1), (14, 7), (15, 1), (17, 1), (18, 3), (19, 3), (23, 3), (24, 1), (29, 1), (30, 2)], 7: [(7, 1), (10, 2), (16, 1), (23, 2), (25, 1), (29, 1), (30, 1), (31, 4), (32, 1), (33, 6), (36, 7)]})",Ravenclaw,"defaultdict(<class 'list'>, {1: [(6, 2), (7, 5), (17, 3)], 2: [(5, 1), (9, 1), (10, 1), (12, 1), (14, 3), (16, 2), (18, 1)], 3: [(5, 1), (9, 6), (10, 1), (12, 6), (13, 14), (15, 2), (22, 1)], 4: [(7, 1), (12, 8), (15, 1), (16, 5), (19, 1), (22, 1), (23, 2), (31, 1)], 5: [(10, 3), (11, 6), (16, 1), (17, 2), (19, 3), (21, 1), (25, 1), (26, 2), (28, 1), (30, 3), (31, 1), (38, 1)], 6: [(7, 1), (9, 1), (23, 1), (24, 5)], 7: [(20, 1), (21, 1), (25, 1), (29, 6), (30, 7), (31, 12)]})",umbrella,"defaultdict(<class 'list'>, {1: [(4, 5), (5, 4), (14, 1)], 2: [(6, 1), (7, 2)], 3: [(9, 2), (10, 1)], 5: [(4, 2), (6, 1), (23, 1), (25, 1), (30, 1)], 6: [(6, 1), (28, 2)], 7: [(4, 1), (9, 1), (32, 1)]})",HPWorldNoun
55,Sneakoscope,"defaultdict(<class 'list'>, {3: [(1, 2), (5, 4), (11, 4)], 4: [(20, 2), (23, 2)], 7: [(2, 1), (7, 1), (14, 2), (15, 1), (19, 1), (22, 1)]})",Remembrall,"defaultdict(<class 'list'>, {1: [(9, 7), (10, 1)], 5: [(10, 1)]})",Trevor,"defaultdict(<class 'list'>, {1: [(6, 1), (16, 2)], 3: [(7, 4)], 4: [(20, 1)], 5: [(10, 6)], 6: [(7, 3)]})",HPWorldNoun
56,snitch,"defaultdict(<class 'list'>, {1: [(10, 4), (11, 8), (13, 4), (17, 2)], 2: [(7, 3), (10, 10)], 3: [(8, 1), (9, 11), (12, 1), (13, 15), (15, 12), (22, 1)], 4: [(7, 2), (8, 10), (37, 1)], 5: [(14, 5), (18, 1), (19, 16), (25, 1), (26, 3), (28, 6), (29, 1), (31, 1), (35, 1)], 6: [(14, 6), (16, 1), (19, 3), (24, 1)], 7: [(7, 23), (16, 1), (18, 1), (19, 1), (20, 1), (22, 8), (23, 1), (34, 3), (36, 1)]})",Bludger,"defaultdict(<class 'list'>, {1: [(10, 1), (11, 7), (13, 1)], 2: [(10, 33)], 3: [(9, 2), (13, 4), (15, 6)], 4: [(7, 1), (8, 4), (20, 1), (22, 1)], 5: [(13, 1), (14, 2), (18, 1), (19, 13), (26, 1)], 6: [(11, 1), (14, 4), (19, 2), (20, 1), (24, 1)], 7: [(31, 1)]})",dragon,"defaultdict(<class 'list'>, {1: [(5, 5), (14, 16), (15, 1), (16, 8), (17, 1)], 2: [(4, 1), (6, 1), (8, 1), (11, 1), (14, 1)], 3: [(1, 1), (11, 1)], 4: [(5, 2), (9, 1), (13, 4), (15, 1), (16, 1), (18, 2), (19, 10), (20, 18), (21, 2), (22, 2), (23, 1), (24, 1), (27, 1), (28, 1), (35, 1)], 5: [(2, 1), (13, 1), (16, 1), (19, 1), (20, 10), (22, 1), (24, 1), (25, 1), (27, 1), (31, 3), (38, 1)], 6: [(1, 1), (4, 2), (9, 1), (11, 1), (14, 1), (18, 2), (22, 1), (24, 1), (30, 1)], 7: [(1, 2), (2, 2), (4, 5), (22, 1), (24, 2), (26, 11), (27, 14), (29, 2)]})",HPWorldNoun
57,squibs,"defaultdict(<class 'list'>, {2: [(9, 2), (17, 1)], 5: [(8, 1)], 6: [(10, 1), (16, 1)], 7: [(8, 2), (11, 1)]})",muggles,"defaultdict(<class 'list'>, {1: [(1, 6), (4, 1), (5, 4), (6, 3), (9, 2), (14, 2), (17, 1)], 2: [(1, 1), (2, 1), (3, 5), (4, 4), (5, 6), (7, 1), (11, 1), (12, 1), (14, 1), (17, 1)], 3: [(1, 6), (3, 6), (4, 2), (5, 1), (7, 1), (8, 1), (10, 4), (12, 2), (13, 1), (17, 1), (22, 1)], 4: [(1, 2), (2, 1), (3, 3), (4, 1), (5, 1), (6, 5), (7, 5), (8, 1), (9, 5), (26, 1), (27, 2), (28, 1), (30, 1), (33, 1), (35, 3), (36, 1)], 5: [(1, 1), (3, 2), (4, 2), (6, 1), (7, 2), (8, 4), (10, 2), (11, 1), (19, 1), (20, 2), (21, 1), (22, 4), (24, 1), (25, 1), (29, 1)], 6: [(1, 7), (5, 1), (6, 1), (10, 3), (13, 2), (16, 1), (17, 1)], 7: [(1, 2), (2, 1), (3, 1), (4, 1), (7, 1), (10, 2), (12, 2), (15, 2), (16, 2), (17, 3), (18, 5), (21, 2), (22, 3), (23, 1), (26, 1), (28, 1), (29, 1), (35, 2)]})",Hedwig,"defaultdict(<class 'list'>, {1: [(6, 6), (8, 3), (14, 2), (16, 2)], 2: [(1, 1), (2, 2), (3, 4), (5, 4), (7, 1), (12, 1)], 3: [(1, 8), (2, 3), (3, 4), (4, 1), (5, 3), (8, 1), (14, 3), (16, 1), (22, 2)], 4: [(2, 5), (3, 6), (10, 4), (13, 1), (14, 7), (15, 6), (18, 5), (19, 1), (28, 3), (37, 2)], 5: [(3, 6), (4, 6), (6, 2), (9, 3), (10, 5), (12, 1), (14, 2), (17, 16), (18, 3), (23, 1), (25, 1), (38, 1)], 6: [(3, 2), (5, 1), (6, 1), (7, 1), (11, 1)], 7: [(2, 2), (4, 7), (5, 2), (19, 1), (34, 1)]})",HPWorldNoun
58,veela,"defaultdict(<class 'list'>, {4: [(8, 23), (9, 3), (16, 6), (18, 3), (22, 1)], 6: [(11, 1)], 7: [(7, 1), (8, 3)]})",house-elf,"defaultdict(<class 'list'>, {})",Powder,"defaultdict(<class 'list'>, {2: [(4, 9), (5, 2), (17, 1)], 3: [(8, 1), (14, 1)], 4: [(4, 2), (15, 1), (16, 1), (27, 1), (33, 1)], 5: [(3, 1), (6, 1), (12, 1), (22, 2), (25, 1), (29, 3), (32, 1)], 6: [(1, 2), (4, 1), (6, 1), (20, 2), (29, 2), (30, 1)], 7: [(7, 1), (10, 1)]})",HPWorldNoun
59,Voldemort,"defaultdict(<class 'list'>, {1: [(1, 4), (4, 1), (6, 2), (15, 4), (16, 6), (17, 14)], 2: [(1, 4), (2, 1), (15, 1), (17, 6), (18, 8)], 3: [(1, 2), (3, 1), (4, 2), (5, 1), (7, 3), (8, 2), (10, 2), (11, 4), (12, 2), (17, 2), (18, 1), (19, 10), (22, 5)], 4: [(1, 1), (2, 16), (3, 1), (13, 1), (14, 5), (17, 4), (19, 5), (27, 5), (28, 2), (29, 3), (30, 7), (31, 3), (32, 1), (33, 47), (34, 41), (35, 5), (36, 22), (37, 12)], 5: [(1, 6), (2, 4), (4, 4), (5, 10), (6, 6), (9, 6), (10, 1), (11, 1), (12, 2), (14, 2), (15, 3), (16, 3), (18, 5), (19, 1), (21, 1), (23, 9), (24, 3), (25, 2), (26, 5), (31, 2), (32, 10), (33, 1), (34, 3), (35, 3), (36, 26), (37, 39), (38, 3)], 6: [(3, 2), (4, 8), (5, 4), (6, 1), (7, 4), (8, 5), (9, 1), (10, 2), (11, 1), (12, 1), (13, 5), (14, 1), (16, 6), (17, 12), (18, 3), (19, 2), (20, 55), (22, 4), (23, 42), (25, 8), (26, 12), (27, 1), (28, 1), (29, 2), (30, 14)], 7: [(1, 36), (2, 2), (3, 4), (4, 7), (5, 17), (6, 8), (7, 4), (8, 2), (9, 6), (10, 17), (11, 9), (12, 6), (14, 7), (15, 9), (16, 2), (17, 4), (18, 2), (19, 1), (21, 1), (22, 11), (23, 11), (24, 11), (25, 3), (27, 5), (29, 3), (30, 4), (31, 13), (32, 27), (33, 27), (34, 21), (35, 20), (36, 60)]})",Grindelwald,"defaultdict(<class 'list'>, {1: [(6, 1), (13, 1)], 7: [(2, 5), (8, 1), (16, 2), (18, 22), (20, 5), (24, 4), (28, 5), (33, 1), (35, 9)]})",Griphook,"defaultdict(<class 'list'>, {1: [(5, 12)], 7: [(15, 11), (23, 14), (24, 29), (25, 23), (26, 43)]})",HPWorldNoun
60,Scabbers,"defaultdict(<class 'list'>, {1: [(6, 11), (7, 1), (11, 1), (12, 1)], 2: [(3, 1), (5, 1), (12, 1)], 3: [(1, 1), (4, 16), (5, 2), (8, 11), (9, 1), (11, 10), (12, 3), (13, 10), (14, 1), (15, 1), (16, 12), (17, 11), (18, 11), (19, 14), (21, 2)], 4: [(5, 2)], 5: [(9, 1)]})",Crookshanks,"defaultdict(<class 'list'>, {3: [(4, 4), (5, 6), (8, 15), (9, 4), (11, 8), (13, 6), (14, 2), (15, 7), (17, 26), (18, 1), (19, 6), (20, 4), (21, 1), (22, 4)], 4: [(5, 5), (11, 4), (14, 3), (24, 1), (26, 4), (37, 1)], 5: [(4, 1), (5, 3), (6, 1), (10, 7), (13, 2), (14, 2), (15, 2), (17, 3), (18, 2), (19, 1), (24, 2), (29, 2), (38, 1)], 6: [(5, 2), (7, 1), (14, 2)], 7: [(6, 2), (32, 2)]})",prophecy,"defaultdict(<class 'list'>, {5: [(22, 1), (35, 40), (36, 5), (37, 15), (38, 1)], 6: [(2, 3), (3, 5), (4, 5), (5, 7), (7, 4), (10, 4), (12, 1), (16, 1), (20, 1), (23, 15), (25, 7)], 7: [(33, 2)]})",ProperName
61,Quirrell,"defaultdict(<class 'list'>, {1: [(5, 9), (7, 4), (8, 4), (9, 1), (10, 3), (11, 1), (12, 1), (13, 7), (14, 3), (15, 4), (17, 54)], 5: [(9, 1), (13, 2), (15, 2)], 6: [(2, 1), (4, 1), (8, 1)], 7: [(33, 1)]})",Trelawney,"defaultdict(<class 'list'>, {3: [(6, 29), (8, 1), (11, 8), (12, 1), (15, 15), (16, 14), (22, 2)], 4: [(10, 2), (13, 12), (15, 1), (18, 1), (20, 1), (21, 3), (29, 8)], 5: [(12, 6), (13, 1), (15, 22), (17, 9), (18, 1), (20, 1), (21, 1), (22, 1), (25, 3), (26, 12), (27, 7), (29, 1), (30, 1), (31, 1), (37, 3), (38, 2)], 6: [(8, 1), (9, 2), (10, 1), (15, 7), (20, 4), (25, 18), (26, 1)], 7: [(32, 1), (33, 1)]})",Patronus,"defaultdict(<class 'list'>, {3: [(12, 12), (13, 2), (15, 1), (20, 3), (21, 6), (22, 4)], 4: [(31, 1)], 5: [(2, 3), (3, 1), (8, 9), (9, 1), (16, 4), (27, 4), (31, 1)], 6: [(8, 2), (16, 2), (21, 1), (29, 1)], 7: [(7, 1), (9, 4), (11, 2), (13, 6), (15, 2), (19, 4), (20, 2), (22, 1), (28, 6), (34, 1), (36, 2)]})",ProperName
62,unicorn,"defaultdict(<class 'list'>, {1: [(5, 3), (6, 1), (15, 17), (17, 1)], 3: [(4, 1), (20, 1), (21, 1)], 4: [(18, 1), (24, 6), (26, 1), (33, 1)], 5: [(31, 1)], 6: [(7, 1), (18, 1), (22, 2)], 7: [(13, 1), (20, 1), (24, 1)]})",centaur,"defaultdict(<class 'list'>, {1: [(15, 7)], 5: [(7, 1), (27, 8), (30, 4), (33, 14), (36, 4)], 6: [(4, 1), (9, 1), (25, 1), (30, 1)], 7: [(31, 1)]})",Cleansweep,"defaultdict(<class 'list'>, {1: [(9, 1)], 2: [(7, 2)], 3: [(12, 1)], 5: [(9, 3), (10, 1), (13, 2)], 6: [(11, 1)]})",CommonNoun
63,ghost,"defaultdict(<class 'list'>, {1: [(7, 11), (8, 1), (12, 1), (16, 2)], 2: [(3, 1), (8, 9), (9, 1), (11, 1), (12, 1), (14, 1), (16, 1), (17, 1)], 3: [(8, 1), (19, 1), (21, 1)], 4: [(9, 1), (12, 2), (15, 1), (20, 1), (21, 2), (22, 1), (25, 1), (33, 1), (34, 4), (36, 1)], 5: [(3, 1), (11, 3), (12, 1), (38, 2)], 6: [(7, 1), (8, 1), (13, 1), (19, 1), (21, 5), (23, 1)], 7: [(25, 2), (27, 1), (29, 1), (31, 6), (34, 1)]})",dwarf,"defaultdict(<class 'list'>, {1: [(16, 1)], 2: [(13, 6)]})",Fleur,"defaultdict(<class 'list'>, {4: [(16, 2), (17, 7), (18, 10), (19, 1), (20, 12), (22, 1), (23, 14), (26, 16), (28, 5), (31, 10), (35, 1), (37, 7)], 5: [(4, 1)], 6: [(5, 8), (6, 5), (7, 4), (14, 1), (16, 13), (17, 1), (29, 8), (30, 2)], 7: [(4, 8), (5, 7), (6, 8), (7, 2), (8, 13), (20, 2), (24, 8), (25, 15), (26, 3), (29, 1), (30, 5), (33, 2)]})",CommonNoun
64,Hagrid,"defaultdict(<class 'list'>, {1: [(1, 11), (4, 38), (5, 99), (6, 11), (7, 4), (8, 23), (9, 2), (11, 16), (12, 19), (14, 42), (15, 43), (16, 16), (17, 12)], 2: [(1, 1), (2, 1), (4, 18), (5, 1), (7, 27), (11, 3), (12, 8), (13, 2), (14, 40), (15, 22), (16, 2), (17, 7), (18, 1)], 3: [(1, 6), (3, 2), (4, 2), (5, 9), (6, 51), (7, 2), (8, 1), (10, 12), (11, 41), (12, 2), (13, 1), (14, 16), (15, 6), (16, 30), (17, 3), (21, 20), (22, 7)], 4: [(3, 2), (11, 3), (12, 6), (13, 15), (15, 9), (16, 30), (17, 1), (18, 8), (19, 49), (20, 8), (21, 22), (22, 11), (23, 15), (24, 62), (25, 1), (26, 10), (28, 39), (29, 4), (31, 6), (35, 1), (36, 2), (37, 18)], 5: [(6, 1), (9, 2), (10, 5), (11, 2), (12, 2), (13, 11), (14, 4), (15, 6), (16, 2), (17, 2), (20, 112), (21, 41), (23, 1), (25, 23), (26, 1), (27, 11), (28, 1), (29, 5), (30, 115), (31, 27), (32, 2), (33, 4), (38, 12)], 6: [(3, 3), (6, 16), (7, 1), (8, 11), (9, 2), (11, 27), (12, 7), (13, 1), (15, 1), (17, 3), (19, 22), (22, 49), (28, 30), (29, 11), (30, 8)], 7: [(2, 1), (3, 1), (4, 42), (5, 39), (6, 2), (7, 10), (8, 4), (14, 1), (15, 3), (16, 1), (17, 1), (22, 2), (24, 1), (26, 1), (27, 1), (28, 1), (31, 10), (32, 12), (34, 5), (36, 13)]})",Filch,"defaultdict(<class 'list'>, {1: [(7, 1), (8, 7), (9, 15), (11, 2), (12, 7), (13, 1), (15, 13), (16, 3)], 2: [(7, 2), (8, 21), (9, 14), (11, 3), (13, 6)], 3: [(7, 2), (8, 7), (9, 3), (10, 6), (11, 1), (14, 3)], 4: [(12, 1), (15, 1), (16, 5), (19, 1), (20, 1), (22, 1), (25, 30)], 5: [(11, 1), (14, 8), (16, 4), (17, 1), (18, 7), (20, 1), (21, 1), (25, 1), (28, 13), (29, 3), (30, 5), (32, 2), (38, 1)], 6: [(8, 1), (11, 2), (12, 6), (15, 10), (19, 4), (21, 1), (22, 2), (24, 2), (27, 2), (29, 1), (30, 1)], 7: [(29, 1), (30, 3), (31, 2)]})",Quidditch,"defaultdict(<class 'list'>, {1: [(5, 6), (6, 2), (7, 1), (9, 8), (10, 7), (11, 15), (12, 4), (13, 6), (14, 1), (15, 6), (16, 1), (17, 3)], 2: [(1, 3), (3, 1), (4, 3), (6, 1), (7, 15), (8, 1), (9, 2), (10, 4), (11, 2), (12, 1), (13, 1), (14, 8), (16, 1)], 3: [(1, 2), (4, 4), (5, 1), (6, 2), (8, 6), (9, 9), (10, 3), (11, 1), (12, 5), (13, 4), (14, 4), (15, 7), (16, 2), (18, 1), (19, 1), (22, 3)], 4: [(1, 3), (2, 2), (3, 8), (5, 2), (6, 5), (7, 4), (8, 8), (10, 4), (11, 1), (12, 2), (13, 1), (15, 3), (16, 5), (17, 2), (18, 2), (19, 4), (20, 3), (21, 1), (22, 2), (23, 2), (24, 2), (27, 4), (28, 8), (30, 3), (31, 2), (33, 3), (34, 1), (35, 4), (37, 1)], 5: [(3, 2), (7, 3), (9, 2), (10, 3), (11, 3), (12, 4), (13, 7), (14, 12), (15, 2), (16, 5), (17, 9), (18, 4), (19, 10), (21, 4), (24, 1), (25, 9), (26, 7), (28, 1), (29, 4), (30, 5), (31, 3), (37, 2), (38, 2)], 6: [(4, 1), (6, 2), (7, 3), (8, 2), (9, 3), (11, 4), (12, 2), (14, 7), (15, 3), (18, 3), (19, 13), (20, 2), (21, 1), (24, 6), (30, 1)], 7: [(2, 1), (6, 1), (7, 7), (8, 3), (10, 2), (14, 2), (29, 1), (30, 1), (33, 1)]})",ProperName
