HP3Item,Category,Word,Word WF,Alternate form,Alternate form WF
20,Name of wizarding school,Durmstrang,"defaultdict(<class 'list'>, {4: [(11, 7), (12, 3), (15, 6), (16, 15), (17, 1), (18, 1), (19, 2), (21, 1), (22, 1), (23, 5), (24, 2), (28, 4), (29, 1), (31, 2), (35, 1), (37, 3)], 5: [(16, 1)], 7: [(8, 1), (16, 1), (18, 4)]})",,"defaultdict(<class 'list'>, {})"
21,Hogwarts house,Hufflepuff,"defaultdict(<class 'list'>, {1: [(5, 5), (7, 7), (13, 4), (17, 2)], 2: [(5, 1), (6, 1), (8, 1), (9, 2), (10, 1), (11, 1), (13, 1), (14, 2), (18, 1)], 3: [(5, 1), (9, 9), (10, 1), (13, 2), (15, 1)], 4: [(6, 1), (7, 1), (12, 6), (13, 1), (15, 2), (16, 3), (17, 2), (18, 3), (20, 1), (22, 1), (23, 1), (28, 1), (31, 1), (37, 2)], 5: [(3, 1), (10, 1), (11, 6), (16, 4), (17, 1), (18, 1), (21, 1), (25, 1), (26, 1), (28, 1), (30, 3), (38, 1)], 6: [(7, 1), (8, 1), (9, 1), (14, 1), (18, 1), (19, 7), (23, 1), (24, 1)], 7: [(5, 1), (26, 2), (29, 1), (31, 1)]})",,"defaultdict(<class 'list'>, {})"
21,Hogwarts house,Ravenclaw,"defaultdict(<class 'list'>, {1: [(6, 2), (7, 5), (17, 3)], 2: [(5, 1), (9, 1), (10, 1), (12, 1), (14, 3), (16, 2), (18, 1)], 3: [(5, 1), (9, 6), (10, 1), (12, 6), (13, 14), (15, 2), (22, 1)], 4: [(7, 1), (12, 8), (15, 1), (16, 5), (19, 1), (22, 1), (23, 2), (31, 1)], 5: [(10, 3), (11, 6), (16, 1), (17, 2), (19, 3), (21, 1), (25, 1), (26, 2), (28, 1), (30, 3), (31, 1), (38, 1)], 6: [(7, 1), (9, 1), (23, 1), (24, 5)], 7: [(20, 1), (21, 1), (25, 1), (29, 6), (30, 7), (31, 12)]})",,"defaultdict(<class 'list'>, {})"
22,Spell,Accio,"defaultdict(<class 'list'>, {4: [(6, 4), (20, 2), (25, 1), (34, 1)], 5: [(18, 1), (22, 1), (28, 1), (29, 1), (35, 4), (36, 2)], 6: [(8, 1), (26, 1), (27, 1)], 7: [(4, 1), (6, 1), (7, 1), (10, 1), (13, 1), (14, 1), (15, 1), (17, 2), (19, 1), (26, 1), (28, 1), (31, 1)]})",,"defaultdict(<class 'list'>, {})"
22,Spell,Lumos,"defaultdict(<class 'list'>, {2: [(15, 1), (16, 1)], 3: [(3, 1), (10, 1), (13, 1), (17, 1)], 4: [(9, 1), (26, 1), (28, 1), (31, 1)], 5: [(1, 1), (3, 1), (30, 1)], 6: [(4, 1), (26, 1), (29, 1)], 7: [(10, 1), (17, 2), (19, 1), (26, 1), (34, 1)]})",,"defaultdict(<class 'list'>, {})"
23,Magical ability,Animagus,"defaultdict(<class 'list'>, {3: [(17, 2), (18, 4), (21, 1)], 4: [(26, 3), (27, 1), (37, 1)], 5: [(5, 1), (17, 1), (23, 2), (25, 1), (36, 1)]})",,"defaultdict(<class 'list'>, {})"
23,Magical ability,Occlumens,"defaultdict(<class 'list'>, {5: [(24, 1)], 6: [(25, 2), (29, 1)]})",Occlumency,"defaultdict(<class 'list'>, {5: [(24, 13), (25, 4), (26, 4), (27, 1), (28, 2), (29, 3), (30, 3), (31, 2), (32, 2), (37, 4)], 6: [(4, 2), (9, 2), (15, 1), (17, 1)], 7: [(9, 1), (12, 2), (14, 1), (33, 1)]})"
24,Magical artifact--dark object,horcruxes,"defaultdict(<class 'list'>, {6: [(17, 2), (18, 8), (20, 1), (23, 23), (24, 1), (26, 1), (30, 3)], 7: [(6, 10), (10, 2), (14, 1), (15, 5), (20, 2), (22, 8), (24, 5), (25, 2), (27, 5), (29, 2), (30, 1), (31, 2), (32, 1), (34, 2), (35, 2), (36, 1)]})",,"defaultdict(<class 'list'>, {})"
24,Magical artifact--dark object,Inferi,"defaultdict(<class 'list'>, {6: [(3, 1), (4, 3), (6, 1), (9, 1), (21, 1), (26, 8), (27, 1), (30, 1)], 7: [(3, 1), (10, 1), (11, 1), (30, 1), (35, 1)]})",,"defaultdict(<class 'list'>, {})"
25,Position in Quidditch,Seeker,"defaultdict(<class 'list'>, {1: [(9, 3), (10, 3), (11, 3), (12, 1), (13, 1), (15, 1), (16, 1)], 2: [(7, 5), (10, 3)], 3: [(5, 1), (8, 2), (9, 4), (12, 2), (13, 3), (15, 1)], 4: [(5, 1), (6, 1), (7, 3), (8, 3), (12, 1), (23, 1), (27, 1)], 5: [(10, 1), (19, 1), (21, 1), (26, 1)], 6: [(24, 2)], 7: [(7, 1), (10, 3), (36, 1)]})",,"defaultdict(<class 'list'>, {})"
